latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-9.89209,147.812,322.2,1.09,1.04,2023-09-09,0011,T,79,6.1NRT,296.02,14.95,D
-12.04667,142.5616,328.29,1.24,1.11,2023-09-09,0011,T,82,6.1NRT,294.2,27.57,D
-12.04844,142.57277,318.4,1.24,1.11,2023-09-09,0011,T,70,6.1NRT,293.4,13.14,D
-12.98175,141.7299,322.49,1.36,1.15,2023-09-09,0013,T,76,6.1NRT,297.01,19.23,D
-13.22167,142.08098,318.75,1.28,1.12,2023-09-09,0013,T,70,6.1NRT,296.14,13.25,D
-16.3822,142.58859,325.87,1.1,1.05,2023-09-09,0013,T,54,6.1NRT,304.44,12.14,D
-16.38379,142.59872,324.89,1.1,1.05,2023-09-09,0013,T,61,6.1NRT,304.2,11.63,D
-16.49488,142.65726,324.54,1.09,1.04,2023-09-09,0013,T,60,6.1NRT,304.63,8.32,D
-16.50017,142.04393,323.82,1.17,1.07,2023-09-09,0013,T,65,6.1NRT,304.85,9.9,D
-15.72419,136.42505,322.64,2.99,1.64,2023-09-09,0013,T,75,6.1NRT,297.49,59.42,D
-15.72476,136.41777,316.95,2.99,1.64,2023-09-09,0013,T,61,6.1NRT,297.48,34.87,D
-15.7298,136.44487,315.39,2.97,1.64,2023-09-09,0013,T,61,6.1NRT,296.77,26.44,D
-15.84622,136.33153,313.16,3.02,1.65,2023-09-09,0013,T,26,6.1NRT,292.72,26.69,D
-17.15773,138.83746,323.3,1.83,1.33,2023-09-09,0013,T,43,6.1NRT,298.34,27.99,D
-17.17894,138.84491,322.4,1.83,1.32,2023-09-09,0013,T,35,6.1NRT,299.92,21.81,D
-17.24635,138.81502,336.37,1.83,1.33,2023-09-09,0013,T,87,6.1NRT,299.33,64.4,D
-17.2492,138.83188,321.79,1.83,1.32,2023-09-09,0013,T,48,6.1NRT,299.33,20.32,D
-17.25251,138.80708,328.01,1.83,1.33,2023-09-09,0013,T,79,6.1NRT,299.6,34.82,D
-17.25547,138.82391,331.42,1.83,1.32,2023-09-09,0013,T,82,6.1NRT,299.66,46.36,D
-17.2964,138.85094,321.52,1.82,1.32,2023-09-09,0013,T,31,6.1NRT,297.74,21.57,D
-17.48659,138.06085,343.61,2.07,1.4,2023-09-09,0013,T,91,6.1NRT,298.86,120.41,D
-17.48986,138.07982,334.35,2.06,1.4,2023-09-09,0013,T,85,6.1NRT,298.8,75.87,D
-17.48825,138.05363,322.93,2.07,1.4,2023-09-09,0013,T,73,6.1NRT,297.91,37.89,D
-17.49166,138.07257,356.02,2.06,1.4,2023-09-09,0013,T,98,6.1NRT,300.29,195.9,D
-17.504,138.07024,326.29,2.06,1.4,2023-09-09,0013,T,78,6.1NRT,299.23,45.1,D
-17.50739,138.08919,328.86,2.05,1.39,2023-09-09,0013,T,80,6.1NRT,299.76,53.74,D
-17.51081,138.10829,314.82,2.04,1.39,2023-09-09,0013,T,15,6.1NRT,298.59,13.42,D
-17.53328,138.16324,320.93,2.02,1.39,2023-09-09,0013,T,60,6.1NRT,298.55,26.94,D
-17.45919,137.6748,330.97,2.21,1.44,2023-09-09,0013,T,63,6.1NRT,294.39,70.53,D
-17.5454,138.16019,334.89,2.02,1.39,2023-09-09,0013,T,85,6.1NRT,300.26,71.84,D
-17.48535,137.60066,336.61,2.23,1.45,2023-09-09,0013,T,73,6.1NRT,292.49,89.4,D
-17.60131,137.80769,322.12,2.15,1.42,2023-09-09,0013,T,67,6.1NRT,299.92,33.98,D
-17.6047,137.82698,323.08,2.14,1.42,2023-09-09,0013,T,74,6.1NRT,299.92,35.77,D
-17.60495,137.82001,328.69,2.14,1.42,2023-09-09,0013,T,81,6.1NRT,300.26,53.51,D
-17.62825,137.58739,327.64,2.23,1.45,2023-09-09,0013,T,80,6.1NRT,298.64,57.27,D
-17.6447,137.6055,333.22,2.22,1.44,2023-09-09,0013,T,85,6.1NRT,298.59,81.53,D
-17.64831,137.62578,320.45,2.21,1.44,2023-09-09,0013,T,58,6.1NRT,298.93,31.18,D
-17.86744,138.80884,315.93,1.79,1.31,2023-09-09,0013,T,52,6.1NRT,299.16,11.53,D
